pid,age,handedness,bid,BOXED.rcs.overall,FLANKER.rcs.overall,BRT.rt_mean.correct,BRT.rt_mean.correct.dominant,BRT.rt_mean.correct.nondominant,BACKWARDSSPATIALSPAN.object_count_span.overall
wpi31726232712u94e4,18,RIGHT,wpi31726232712u94e4.session0,0.9549071618037135,2.002156168181118,296.8333333333333,282.4,311.26666666666665,6
wpi3172626625ps4717,19,RIGHT,wpi3172626625ps4717.session0,0.9974747474747474,1.681580685844694,318.8,325.46666666666664,312.1333333333333,6
wpi31726e22d9385259,19,LEFT,wpi31726e22d9385259.session0,1.2229999247384662,2.0205569709215494,277.7692307692308,273.2307692307692,282.3076923076923,8
wpi317d26k247126090,20,RIGHT,wpi317d26k247126090.session0,1.10365398956003,1.8427065674062062,314.5,325.6,303.4,8
wpi31728q4153194o63,18,RIGHT,wpi31728q4153194o63.session0,1.0287414535325399,2.191319005478298,282.7931034482759,283.3333333333333,282.2142857142857,9
wpi317267968y60z431,21,RIGHT,wpi317267968y60z431.session0,1.0073739775154127,1.7685203379838867,300.06666666666666,293.46666666666664,306.6666666666667,7
wpi31726101m69o4147,20,RIGHT,wpi31726101m69o4147.session0,1.249663856241201,2.2766078542970973,280.6,262.26666666666665,298.93333333333334,7
wpi3172l599450p4737,24,RIGHT,wpi3172l599450p4737.session0,1.177031970733259,2.190409137135258,349.46666666666664,330.06666666666666,368.8666666666667,NA
wpi3pf1726083661580,21,RIGHT,wpi3pf1726083661580.session0,1.4167172637117993,2.3251654444643175,391.1,361.1333333333333,421.06666666666666,7
wpi3j172v6090848366,36,RIGHT,wpi3j172v6090848366.session0,1.3050862608384732,2.0346646571213265,263.8333333333333,259.93333333333334,267.73333333333335,7
wpi317260908131rg02,23,RIGHT,wpi317260908131rg02.session0,1.0966326925557994,2.2939988988805284,296.7096774193548,270.14285714285717,318.5882352941176,6
